Gene	Symbol|Child_inf_vs_control	Mouse.gene.name|Mouse_FOOTDay2inf_vs_control	logFC|Adult_inf_vs_control	logFC|Child_inf_vs_control	logFC|Mouse_LNDay2inf_vs_control	logFC|Mouse_FOOTDay2inf_vs_control	FDR|Adult_inf_vs_control	FDR|Child_inf_vs_control	FDR|Mouse_LNDay2inf_vs_control	FDR|Mouse_FOOTDay2inf_vs_control	-logPFDR|Adult_inf_vs_control	-logPFDR|Child_inf_vs_control	-logPFDR|Mouse_LNDay2inf_vs_control	-logPFDR|Mouse_FOOTDay2inf_vs_control	DEG|Adult_inf_vs_control	DEG|Child_inf_vs_control	DEG|Mouse_LNDay2inf_vs_control	DEG|Mouse_FOOTDay2inf_vs_control	Number_UP	Number_DOWN
ENSG00000124785	NRN1	Nrn1	1.3092	3.3410	-1.1116	-0.8232	0.0119	0.0000	0.0000	0.0000	1.9243	20.6778	6.1818	6.1824	NO	UP	DOWN	NO	1	1
ENSG00000166123	GPT2	Gpt2	1.0435	0.0877	-1.1182	-0.0973	0.0004	0.6132	0.0000	0.5426	3.4233	0.2124	5.7986	0.2655	UP	NO	DOWN	NO	1	1
ENSG00000134463	ECHDC3	Echdc3	2.0273	0.2987	-1.1191	-0.5180	0.0000	0.1297	0.0000	0.0173	5.2676	0.8872	4.7696	1.7616	UP	NO	DOWN	NO	1	1
ENSG00000150672	DLG2	Dlg2	1.1655	-0.0357	-1.1264	-0.6717	0.0005	0.8114	0.0000	0.0001	3.3116	0.0908	6.2708	4.1972	UP	NO	DOWN	NO	1	1
ENSG00000119138	KLF9	Klf9	1.9373	-0.3919	-1.1341	-0.1470	0.0000	0.0000	0.0000	0.2408	11.3344	9.4413	6.8794	0.6183	UP	NO	DOWN	NO	1	1
ENSG00000144810	COL8A1	Col8a1	0.8648	1.1556	-1.1351	-0.0189	0.1139	0.0000	0.0001	0.9195	0.9436	4.3107	3.9962	0.0365	NO	UP	DOWN	NO	1	1
ENSG00000185909	KLHDC8B	Klhdc8b	0.2849	2.8021	-1.1383	-0.6475	0.4106	0.0000	0.0000	0.0000	0.3866	38.4737	6.9101	4.3696	NO	UP	DOWN	NO	1	1
ENSG00000106025	TSPAN12	Tspan12	2.0161	0.4371	-1.1446	-0.6708	0.0005	0.1738	0.0000	0.0003	3.2694	0.7600	6.6840	3.5431	UP	NO	DOWN	NO	1	1
ENSG00000166831	RBPMS2	Rbpms2	1.8914	-0.5742	-1.1448	-0.4189	0.0001	0.1468	0.0000	0.0457	4.1046	0.8333	5.3458	1.3401	UP	NO	DOWN	NO	1	1
ENSG00000117971	CHRNB4	Chrnb4	3.2106	0.7354	-1.1599	-0.3855	0.0000	0.0311	0.0001	0.4631	6.7620	1.5077	3.8390	0.3343	UP	NO	DOWN	NO	1	1
ENSG00000091513	TF	Trf	1.6525	0.6268	-1.1710	-0.8384	0.0001	0.0316	0.0000	0.0000	4.1884	1.4997	9.6289	7.0391	UP	NO	DOWN	NO	1	1
ENSG00000122574	WIPF3	Wipf3	1.3521	1.1837	-1.1788	-0.3605	0.0132	0.0006	0.0002	0.0346	1.8789	3.2264	3.7102	1.4612	NO	UP	DOWN	NO	1	1
ENSG00000187554	TLR5	Tlr5	-0.4663	2.0825	-1.1829	-0.0597	0.0671	0.0000	0.0000	0.8007	1.1730	43.7055	5.3757	0.0965	NO	UP	DOWN	NO	1	1
ENSG00000139209	SLC38A4	Slc38a4	-0.4253	1.0041	-1.1870	0.0758	0.2814	0.0005	0.0000	0.6164	0.5507	3.3450	6.7905	0.2102	NO	UP	DOWN	NO	1	1
ENSG00000163362	C1orf106	Inava	1.8219	0.0277	-1.2058	-0.1190	0.0004	0.9495	0.0005	0.3314	3.3766	0.0225	3.2882	0.4796	UP	NO	DOWN	NO	1	1
ENSG00000006740	ARHGAP44	Arhgap44	-0.2971	1.1237	-1.2127	-0.4449	0.4213	0.0002	0.0000	0.0014	0.3754	3.6379	5.1057	2.8596	NO	UP	DOWN	NO	1	1
ENSG00000113758	DBN1	Dbn1	-0.3018	1.2200	-1.2324	-0.7967	0.0863	0.0000	0.0000	0.0000	1.0639	4.7645	6.9393	5.4698	NO	UP	DOWN	NO	1	1
ENSG00000148408	CACNA1B	Cacna1b	3.0481	0.5113	-1.2414	0.7263	0.0000	0.2199	0.0000	0.3299	7.0237	0.6578	5.9469	0.4816	UP	NO	DOWN	NO	1	1
ENSG00000141431	ASXL3	Asxl3	1.5367	0.7505	-1.2542	0.3557	0.0003	0.0044	0.0004	0.4368	3.4697	2.3569	3.3833	0.3597	UP	NO	DOWN	NO	1	1
ENSG00000148600	CDHR1	Cdhr1	0.1133	-0.6509	-1.2590	4.3568	0.8304	0.0142	0.0005	0.0000	0.0807	1.8477	3.2995	10.2993	NO	NO	DOWN	UP	1	1
ENSG00000168874	ATOH8	Atoh8	1.2706	0.3452	-1.2772	0.4163	0.0006	0.4093	0.0000	0.0183	3.2108	0.3880	4.3696	1.7385	UP	NO	DOWN	NO	1	1
ENSG00000109906	ZBTB16	Zbtb16	2.3255	0.2343	-1.2818	0.0138	0.0000	0.1723	0.0001	0.9697	7.4510	0.7638	3.9891	0.0134	UP	NO	DOWN	NO	1	1
ENSG00000107821	KAZALD1	Kazald1	2.4467	0.6226	-1.3047	-0.8232	0.0000	0.0856	0.0001	0.0000	4.7747	1.0673	3.8970	5.8477	UP	NO	DOWN	NO	1	1
ENSG00000125845	BMP2	Bmp2	2.9276	-0.3183	-1.3108	0.6563	0.0000	0.2369	0.0000	0.0000	7.9508	0.6254	8.4572	6.5482	UP	NO	DOWN	NO	1	1
ENSG00000128573	FOXP2	Foxp2	1.8533	0.7545	-1.3433	-0.9653	0.0007	0.0008	0.0001	0.0001	3.1338	3.0912	4.1555	4.1040	UP	NO	DOWN	NO	1	1
ENSG00000129757	CDKN1C	Cdkn1c	0.3971	2.2327	-1.3469	-0.9388	0.1468	0.0000	0.0000	0.0000	0.8332	19.5622	6.3279	5.2495	NO	UP	DOWN	NO	1	1
ENSG00000196739	COL27A1	Col27a1	1.5079	0.1317	-1.3535	-0.5127	0.0002	0.7702	0.0000	0.0015	3.7126	0.1134	7.6676	2.8231	UP	NO	DOWN	NO	1	1
ENSG00000187720	THSD4	Thsd4	2.4718	0.6419	-1.3586	-0.5370	0.0000	0.0209	0.0000	0.0095	5.1244	1.6797	5.6326	2.0234	UP	NO	DOWN	NO	1	1
ENSG00000183715	OPCML	Opcml	2.6068	0.5435	-1.3622	-1.0963	0.0000	0.0627	0.0027	0.0000	4.4841	1.2024	2.5718	4.5143	UP	NO	NO	DOWN	1	1
ENSG00000120907	ADRA1A	Adra1a	2.4788	0.5077	-1.3889	-0.5214	0.0003	0.1094	0.0000	0.1182	3.5332	0.9609	5.0783	0.9275	UP	NO	DOWN	NO	1	1
ENSG00000092421	SEMA6A	Sema6a	-0.8805	1.2288	-1.4025	0.1846	0.0007	0.0000	0.0000	0.1430	3.1768	10.5751	8.3401	0.8445	NO	UP	DOWN	NO	1	1
ENSG00000175471	MCTP1	Mctp1	-0.0232	1.4800	-1.4056	-0.5718	0.9031	0.0000	0.0000	0.0161	0.0443	41.9318	4.3098	1.7943	NO	UP	DOWN	NO	1	1
ENSG00000250305	KIAA1456	Trmt9b	1.1468	1.0111	-1.4208	-0.5226	0.0054	0.0000	0.0001	0.0397	2.2697	9.7375	4.0246	1.4007	NO	UP	DOWN	NO	1	1
ENSG00000203797	DDO	Ddo	0.9556	1.9546	-1.4316	-0.0250	0.0036	0.0000	0.0000	0.9158	2.4466	13.1898	6.3969	0.0382	NO	UP	DOWN	NO	1	1
ENSG00000140538	NTRK3	Ntrk3	3.1031	0.6658	-1.4332	-0.6562	0.0000	0.0007	0.0000	0.0012	7.1851	3.1692	7.2472	2.9164	UP	NO	DOWN	NO	1	1
ENSG00000149633	KIAA1755	D630003M21Rik	2.9211	0.0245	-1.4810	-0.9450	0.0000	0.9533	0.0008	0.0015	6.9355	0.0208	3.0963	2.8111	UP	NO	DOWN	NO	1	1
ENSG00000145934	TENM2	Tenm2	2.4355	0.7621	-1.4954	-0.3525	0.0000	0.0080	0.0004	0.0324	4.7375	2.0943	3.3966	1.4900	UP	NO	DOWN	NO	1	1
ENSG00000100626	GALNT16	Galnt16	2.4138	-0.2118	-1.5650	-0.8494	0.0000	0.6073	0.0000	0.0000	4.8633	0.2166	7.4330	4.8827	UP	NO	DOWN	NO	1	1
ENSG00000154678	PDE1C	Pde1c	1.9825	0.7006	-1.5767	-0.4927	0.0003	0.0007	0.0000	0.0383	3.5537	3.1443	6.2741	1.4171	UP	NO	DOWN	NO	1	1
ENSG00000119715	ESRRB	Esrrb	3.0129	0.4818	-1.6308	-0.8038	0.0000	0.2173	0.0002	0.0273	6.0026	0.6630	3.6991	1.5634	UP	NO	DOWN	NO	1	1
ENSG00000145850	TIMD4	Timd4	-0.7947	-0.4487	-1.6717	1.1172	0.0168	0.0442	0.0000	0.0000	1.7744	1.3549	9.8125	4.8297	NO	NO	DOWN	UP	1	1
ENSG00000070808	CAMK2A	Camk2a	4.3925	0.8593	-1.6754	0.0924	0.0000	0.0193	0.0000	0.6626	9.7670	1.7139	4.8125	0.1787	UP	NO	DOWN	NO	1	1
ENSG00000079156	OSBPL6	Osbpl6	1.0043	1.1667	-1.6909	-0.9931	0.0018	0.0000	0.0001	0.0013	2.7495	12.2848	3.9830	2.8785	NO	UP	DOWN	NO	1	1
ENSG00000179314	WSCD1	Wscd1	1.9475	0.5304	-1.7216	-0.6213	0.0002	0.1092	0.0000	0.0556	3.7785	0.9617	4.5436	1.2548	UP	NO	DOWN	NO	1	1
ENSG00000181541	MAB21L2	Mab21l2	-1.2631	1.1588	-1.7738	-0.7965	0.0001	0.0006	0.2058	0.0031	4.3010	3.2059	0.6865	2.5122	DOWN	UP	NO	NO	1	1
ENSG00000161270	NPHS1	Nphs1	2.6560	0.8175	-1.8499	-1.8607	0.0000	0.0344	0.0001	0.3708	4.6253	1.4634	4.1694	0.4308	UP	NO	DOWN	NO	1	1
ENSG00000237515	SHISA9	Shisa9	0.9948	1.0964	-1.9021	-0.6500	0.0001	0.0001	0.0003	0.5944	4.1267	3.9913	3.5771	0.2259	NO	UP	DOWN	NO	1	1
ENSG00000196090	PTPRT	Ptprt	2.7611	0.2279	-1.9426	-0.3270	0.0000	0.3775	0.0001	0.4231	6.4271	0.4231	3.9970	0.3735	UP	NO	DOWN	NO	1	1
ENSG00000152092	ASTN1	Astn1	3.7424	0.6857	-2.0023	-0.8312	0.0000	0.0118	0.0000	0.4253	7.6289	1.9288	6.9208	0.3714	UP	NO	DOWN	NO	1	1
ENSG00000172752	COL6A5	Col6a5	2.1396	0.9643	-2.0246	-0.9261	0.0000	0.0000	0.0000	0.0354	4.5452	4.6271	5.6055	1.4508	UP	NO	DOWN	NO	1	1
ENSG00000129048	ACKR4	Ackr4	0.7207	1.0357	-2.0540	-0.0406	0.0210	0.0000	0.0000	0.6400	1.6777	6.7878	11.7055	0.1938	NO	UP	DOWN	NO	1	1
ENSG00000152779	SLC16A12	Slc16a12	3.6013	0.5409	-2.0964	0.0451	0.0000	0.1333	0.0000	0.9013	8.9586	0.8752	6.8928	0.0451	UP	NO	DOWN	NO	1	1
ENSG00000130226	DPP6	Dpp6	2.2338	0.3125	-2.1033	0.1099	0.0000	0.2834	0.0001	0.8166	4.7190	0.5477	3.9590	0.0880	UP	NO	DOWN	NO	1	1
ENSG00000136011	STAB2	Stab2	1.8168	0.8516	-2.1352	-0.1108	0.0001	0.0003	0.0000	0.7519	4.2765	3.5526	9.1463	0.1238	UP	NO	DOWN	NO	1	1
ENSG00000092051	JPH4	Jph4	0.7904	2.1553	-2.1448	-1.6998	0.0386	0.0000	0.0092	0.0000	1.4139	10.7033	2.0376	5.9136	NO	UP	NO	DOWN	1	1
ENSG00000170837	GPR27	Gpr27	-1.0200	1.7222	-2.4733	-0.7243	0.0030	0.0000	0.0000	0.0035	2.5300	32.1752	5.8665	2.4560	NO	UP	DOWN	NO	1	1
ENSG00000157087	ATP2B2	Atp2b2	2.3776	0.3431	-2.6206	-1.0753	0.0000	0.3121	0.0000	0.0106	5.4815	0.5057	5.4672	1.9751	UP	NO	DOWN	NO	1	1
ENSG00000182566	CLEC4G	Clec4g	1.7852	0.6099	-2.8196	-2.2615	0.0001	0.1024	0.0000	0.0211	4.0273	0.9895	5.7144	1.6763	UP	NO	DOWN	NO	1	1
ENSG00000155659	VSIG4	Vsig4	0.7249	1.4011	-3.9957	-2.7978	0.0692	0.0000	0.0283	0.0000	1.1598	6.1169	1.5477	9.5560	NO	UP	NO	DOWN	1	1
ENSG00000175899	A2M	A2m	-1.7076	0.5875	1.9218	0.0513	0.0000	0.0018	0.0345	0.9255	7.5129	2.7483	1.4618	0.0336	DOWN	NO	NO	NO	0	1
ENSG00000143167	GPA33	Gpa33	-1.6679	-0.8299	1.3966	0.1534	0.0000	0.0000	0.0162	0.8093	9.4547	4.5768	1.7910	0.0919	DOWN	NO	NO	NO	0	1
ENSG00000149260	CAPN5	Capn5	0.5587	-1.6649	0.9776	0.2237	0.0348	0.0000	0.0000	0.0248	1.4588	7.0164	7.8827	1.6060	NO	DOWN	NO	NO	0	1
ENSG00000144504	ANKMY1	Ankmy1	-1.0992	-0.5703	0.9718	0.3053	0.0000	0.0000	0.0041	0.4844	10.4067	7.7645	2.3838	0.3148	DOWN	NO	NO	NO	0	1
ENSG00000185414	MRPL30	Mrpl30	-1.4654	-0.3672	0.9616	0.8449	0.0000	0.0000	0.0000	0.0000	12.0159	13.7352	8.8268	8.2118	DOWN	NO	NO	NO	0	1
ENSG00000179144	GIMAP7	Gimap7	-2.2432	0.0971	0.9499	0.5074	0.0000	0.1072	0.0000	0.4857	11.4365	0.9698	5.4134	0.3136	DOWN	NO	NO	NO	0	1
ENSG00000010219	DYRK4	Dyrk4	-1.1711	-0.8983	0.8871	-0.7834	0.0000	0.0000	0.0578	0.5892	9.2306	22.8761	1.2379	0.2297	DOWN	NO	NO	NO	0	1
ENSG00000118971	CCND2	Ccnd2	-1.4804	-0.6565	0.8694	0.5056	0.0000	0.0000	0.0000	0.0000	7.4559	20.2612	9.7423	6.3809	DOWN	NO	NO	NO	0	1
ENSG00000140749	IGSF6	Igsf6	-1.1748	0.7884	0.8323	0.5000	0.0001	0.0000	0.0000	0.0027	4.0878	15.9136	5.9281	2.5735	DOWN	NO	NO	NO	0	1
ENSG00000099901	RANBP1	Ranbp1	-1.0020	-0.6105	0.7858	0.4919	0.0000	0.0000	0.0000	0.0015	9.3335	12.7167	4.9469	2.8162	DOWN	NO	NO	NO	0	1
ENSG00000155850	SLC26A2	Slc26a2	-2.2469	-0.2798	0.7852	0.4977	0.0000	0.0000	0.0003	0.0313	13.7747	10.6021	3.4954	1.5048	DOWN	NO	NO	NO	0	1
ENSG00000122188	LAX1	Lax1	-1.2043	-0.4880	0.7691	-0.0867	0.0000	0.0000	0.0000	0.5940	8.2154	9.0343	8.0376	0.2262	DOWN	NO	NO	NO	0	1
ENSG00000196155	PLEKHG4	Plekhg4	-1.8684	-0.5421	0.7632	0.7037	0.0000	0.0860	0.0632	0.0822	10.4353	1.0656	1.1994	1.0853	DOWN	NO	NO	NO	0	1
ENSG00000156531	PHF6	Phf6	-1.3341	-0.1854	0.7345	0.1977	0.0000	0.0000	0.0000	0.0564	14.0670	4.4750	7.2336	1.2484	DOWN	NO	NO	NO	0	1
ENSG00000132182	NUP210	Nup210	-1.3847	-0.3392	0.7320	0.5005	0.0000	0.0027	0.0000	0.0000	6.2604	2.5767	8.8729	5.0173	DOWN	NO	NO	NO	0	1
ENSG00000146070	PLA2G7	Pla2g7	0.0124	-1.0552	0.7243	0.6971	0.9700	0.0000	0.0000	0.0000	0.0132	9.9469	4.8894	4.4248	NO	DOWN	NO	NO	0	1
ENSG00000119457	SLC46A2	Slc46a2	-2.0502	-0.3061	0.7122	-0.0476	0.0000	0.0300	0.6329	0.8463	10.0721	1.5233	0.1987	0.0725	DOWN	NO	NO	NO	0	1
ENSG00000120253	NUP43	Nup43	-1.5784	-0.3337	0.7017	-0.0557	0.0000	0.0000	0.0033	0.8475	14.8327	9.0545	2.4789	0.0719	DOWN	NO	NO	NO	0	1
ENSG00000152147	GEMIN6	Gemin6	-2.2586	-0.6537	0.6981	0.0891	0.0000	0.0000	0.0002	0.6357	13.7799	19.4535	3.6476	0.1968	DOWN	NO	NO	NO	0	1
ENSG00000049249	TNFRSF9	Tnfrsf9	-1.7319	-0.8460	0.6670	1.0158	0.0000	0.0000	0.0026	0.0156	10.9666	11.5243	2.5794	1.8064	DOWN	NO	NO	NO	0	1
ENSG00000101298	SNPH	Snph	-1.1997	-0.2635	0.6662	-1.4385	0.0000	0.3873	0.0219	0.0137	4.3298	0.4119	1.6601	1.8624	DOWN	NO	NO	NO	0	1
ENSG00000165572	KBTBD6	Kbtbd6	-1.0014	-0.8818	0.6538	-0.4581	0.0000	0.0000	0.0103	0.1402	6.4660	36.0595	1.9879	0.8533	DOWN	NO	NO	NO	0	1
ENSG00000140988	RPS2	Rps2	-0.7504	-1.3898	0.6469	0.1350	0.0000	0.0000	0.0000	0.0494	5.7520	15.6055	8.0921	1.3065	NO	DOWN	NO	NO	0	1
ENSG00000002745	WNT16	Wnt16	-2.5050	-0.7498	0.6297	-0.0076	0.0000	0.0000	0.4266	0.9842	9.5702	5.7399	0.3699	0.0069	DOWN	NO	NO	NO	0	1
ENSG00000154734	ADAMTS1	Adamts1	-2.5252	-0.2264	0.6226	0.9943	0.0000	0.2636	0.0001	0.0000	9.5784	0.5791	4.1337	7.5513	DOWN	NO	NO	NO	0	1
ENSG00000198498	TMA16	Tma16	-1.7494	-0.3901	0.6222	0.4718	0.0000	0.0000	0.0010	0.0064	15.2815	8.5817	2.9814	2.1931	DOWN	NO	NO	NO	0	1
ENSG00000260286	C6orf229	Armh2	-2.3522	0.4922	0.6156	0.8814	0.0000	0.0000	0.0782	0.6346	7.1469	4.3840	1.1068	0.1975	DOWN	NO	NO	NO	0	1
ENSG00000095585	BLNK	Blnk	-1.1215	-0.2716	0.5972	0.1769	0.0002	0.0044	0.0000	0.0908	3.7174	2.3613	6.8928	1.0421	DOWN	NO	NO	NO	0	1
ENSG00000182993	C12orf60	BC049715	-1.4306	-0.0910	0.5948	0.0412	0.0000	0.4626	0.0171	0.9631	6.6198	0.3348	1.7678	0.0163	DOWN	NO	NO	NO	0	1
ENSG00000118412	CASP8AP2	Casp8ap2	-1.0876	-0.0680	0.5911	0.1128	0.0000	0.0912	0.0001	0.4518	11.3270	1.0402	4.2596	0.3451	DOWN	NO	NO	NO	0	1
ENSG00000103494	RPGRIP1L	Rpgrip1l	-1.3382	-0.8092	0.5640	0.0794	0.0000	0.0000	0.0012	0.5950	7.2924	21.9136	2.9335	0.2255	DOWN	NO	NO	NO	0	1
ENSG00000112118	MCM3	Mcm3	-2.0279	-0.4217	0.5598	-0.2440	0.0000	0.0000	0.0000	0.0171	12.4295	6.9245	5.5331	1.7681	DOWN	NO	NO	NO	0	1
ENSG00000174514	MFSD4A	Mfsd4a	-0.8600	-1.6151	0.5582	0.3516	0.0035	0.0000	0.0000	0.0020	2.4564	17.6840	5.5100	2.6912	NO	DOWN	NO	NO	0	1
ENSG00000105011	ASF1B	Asf1b	-1.9767	-0.8939	0.5580	-0.6348	0.0000	0.0000	0.0000	0.0000	8.5867	5.6737	4.3565	4.7423	DOWN	NO	NO	NO	0	1
ENSG00000116824	CD2	Cd2	-1.4538	-0.7420	0.5542	0.0809	0.0000	0.0000	0.0001	0.8810	9.7471	22.0123	4.1662	0.0550	DOWN	NO	NO	NO	0	1
ENSG00000120800	UTP20	Utp20	-1.3053	-0.7074	0.5493	0.1656	0.0000	0.0000	0.0000	0.0837	12.9626	25.1261	5.4660	1.0774	DOWN	NO	NO	NO	0	1
ENSG00000175787	ZNF169	Zfp169	-1.0384	-0.3352	0.5453	0.1311	0.0000	0.0000	0.0000	0.1154	7.7670	4.6946	6.5528	0.9380	DOWN	NO	NO	NO	0	1
ENSG00000160683	CXCR5	Cxcr5	-0.9303	-1.0686	0.5438	0.2584	0.0055	0.0000	0.0000	0.4524	2.2616	9.2233	6.4828	0.3445	NO	DOWN	NO	NO	0	1
ENSG00000154889	MPPE1	Mppe1	-1.1787	-0.0218	0.5431	0.0549	0.0000	0.7678	0.0000	0.6689	7.1824	0.1147	5.7986	0.1746	DOWN	NO	NO	NO	0	1
ENSG00000175548	ALG10B	Alg10b	-1.1994	-0.6147	0.5369	0.2167	0.0000	0.0000	0.0000	0.0490	10.9136	21.9172	5.0223	1.3095	DOWN	NO	NO	NO	0	1
ENSG00000253797	UTP14C	Utp14b	-1.5163	0.3118	0.5362	-0.0256	0.0000	0.0000	0.0172	0.9552	7.0191	16.4750	1.7645	0.0199	DOWN	NO	NO	NO	0	1
ENSG00000156697	UTP14A	Utp14b	-1.0819	-0.1890	0.5362	-0.0256	0.0000	0.0095	0.0172	0.9552	11.0357	2.0222	1.7645	0.0199	DOWN	NO	NO	NO	0	1
ENSG00000074071	MRPS34	Mrps34	-1.3170	-0.2677	0.5287	0.1638	0.0000	0.1989	0.0000	0.0402	12.4486	0.7013	5.8928	1.3954	DOWN	NO	NO	NO	0	1
ENSG00000013503	POLR3B	Polr3b	-1.3469	-0.4006	0.5234	-0.1152	0.0000	0.0000	0.0000	0.2312	12.1046	8.8327	5.5346	0.6360	DOWN	NO	NO	NO	0	1
ENSG00000211749	TRBV23-1	Trbv26	-1.1656	-1.2864	0.5189	-1.8615	0.0034	0.0000	0.0279	0.3708	2.4719	8.5884	1.5550	0.4308	NO	DOWN	NO	NO	0	1
ENSG00000188452	CERKL	Cerkl	-1.1943	0.9303	0.5178	0.2913	0.0000	0.0000	0.2730	0.7931	9.0701	7.2441	0.5639	0.1007	DOWN	NO	NO	NO	0	1
ENSG00000095906	NUBP2	Nubp2	-1.2230	-0.2860	0.5102	0.4353	0.0000	0.4202	0.0000	0.0003	9.6021	0.3765	4.4802	3.5340	DOWN	NO	NO	NO	0	1
ENSG00000139187	KLRG1	Klrg1	-2.3368	-0.8619	0.5064	1.7220	0.0000	0.0000	0.0939	0.0634	12.6421	11.6968	1.0274	1.1979	DOWN	NO	NO	NO	0	1
ENSG00000013810	TACC3	Tacc3	-1.1216	0.2682	0.5044	-0.3861	0.0000	0.0433	0.0001	0.0008	8.0888	1.3636	4.2190	3.0737	DOWN	NO	NO	NO	0	1
ENSG00000135624	CCT7	Cct7	-1.0966	-0.2710	0.5038	0.2702	0.0000	0.0001	0.0000	0.0007	9.4935	3.8311	6.2676	3.1382	DOWN	NO	NO	NO	0	1
ENSG00000076248	UNG	Ung	-1.8620	-0.7278	0.5031	-0.5174	0.0000	0.0000	0.0002	0.0004	12.9547	15.6556	3.6435	3.4048	DOWN	NO	NO	NO	0	1
ENSG00000187257	RSBN1L	Rsbn1l	-1.2399	0.2067	0.4949	0.1502	0.0000	0.0001	0.0000	0.0562	10.3904	4.0026	6.3072	1.2502	DOWN	NO	NO	NO	0	1
ENSG00000131469	RPL27	Rpl27	-0.5477	-1.0564	0.4881	0.0835	0.0009	0.0000	0.0000	0.4343	3.0650	27.4157	4.4101	0.3622	NO	DOWN	NO	NO	0	1
ENSG00000132646	PCNA	Pcna	-1.1428	0.0702	0.4863	-0.0554	0.0000	0.3607	0.0000	0.4888	6.3497	0.4429	5.9245	0.3108	DOWN	NO	NO	NO	0	1
ENSG00000136485	DCAF7	Dcaf7	-1.7083	-0.0196	0.4795	0.0998	0.0000	0.7920	0.0000	0.1352	9.5186	0.1013	6.6440	0.8692	DOWN	NO	NO	NO	0	1
ENSG00000144713	RPL32	Rpl32	-0.4342	-1.0830	0.4762	-0.2224	0.0057	0.0000	0.0000	0.0192	2.2464	23.4622	4.6615	1.7168	NO	DOWN	NO	NO	0	1
ENSG00000078589	P2RY10	P2ry10	-0.9946	-1.1615	0.4710	0.9164	0.0001	0.0000	0.0001	0.0001	4.0052	32.0675	4.0809	4.2865	NO	DOWN	NO	NO	0	1
ENSG00000168807	SNTB2	Sntb2	-1.1418	-0.2814	0.4696	0.6635	0.0000	0.0000	0.0005	0.0000	8.6696	6.3716	3.2935	4.6421	DOWN	NO	NO	NO	0	1
ENSG00000149516	MS4A3	Ms4a3	-0.7713	-1.0531	0.4662	0.1940	0.0094	0.0000	0.7257	0.7709	2.0284	13.6757	0.1393	0.1130	NO	DOWN	NO	NO	0	1
ENSG00000161405	IKZF3	Ikzf3	-1.2936	-0.7611	0.4639	0.2320	0.0000	0.0000	0.0000	0.4227	6.3344	21.0009	4.4112	0.3740	DOWN	NO	NO	NO	0	1
ENSG00000197771	MCMBP	Mcmbp	-1.2340	0.6597	0.4559	0.2160	0.0000	0.0000	0.0000	0.0015	6.9586	27.9788	6.8153	2.8239	DOWN	NO	NO	NO	0	1
ENSG00000148296	SURF6	Surf6	-1.1455	-0.2478	0.4524	-0.0301	0.0000	0.0011	0.0000	0.7072	11.6144	2.9734	6.3080	0.1504	DOWN	NO	NO	NO	0	1
ENSG00000155265	GOLGA7B	Golga7b	-2.4140	-0.8707	0.4523	0.4893	0.0000	0.0000	0.4453	0.0673	12.7545	8.3546	0.3514	1.1719	DOWN	NO	NO	NO	0	1
ENSG00000082516	GEMIN5	Gemin5	-2.1784	-0.4021	0.4449	0.0945	0.0000	0.0000	0.0008	0.4862	14.8477	12.0910	3.1100	0.3132	DOWN	NO	NO	NO	0	1
ENSG00000130193	THEM6	Them6	-1.4981	-0.5599	0.4446	0.3675	0.0000	0.1294	0.0004	0.0082	8.3098	0.8881	3.4221	2.0843	DOWN	NO	NO	NO	0	1
ENSG00000259494	MRPL46	Mrpl46	-1.1319	-0.5910	0.4445	0.2199	0.0000	0.0000	0.0001	0.0312	7.9136	16.7852	3.9468	1.5056	DOWN	NO	NO	NO	0	1
ENSG00000105373	NOP53	Nop53	-1.0586	-0.3051	0.4434	-0.1044	0.0000	0.0907	0.0000	0.2626	8.1024	1.0424	4.4949	0.5807	DOWN	NO	NO	NO	0	1
ENSG00000143315	PIGM	Pigm	-1.4832	-0.0714	0.4425	0.2514	0.0000	0.2214	0.0000	0.0011	11.3098	0.6548	6.0035	2.9494	DOWN	NO	NO	NO	0	1
ENSG00000231500	RPS18	Rps18	-0.7173	-1.0794	0.4411	-0.1574	0.0002	0.0000	0.0000	0.0383	3.7907	26.9626	5.4078	1.4170	NO	DOWN	NO	NO	0	1
ENSG00000145375	SPATA5	Spata5	-1.2171	-0.6190	0.4401	0.2539	0.0000	0.0000	0.0018	0.0825	13.0878	25.2652	2.7426	1.0836	DOWN	NO	NO	NO	0	1
ENSG00000103489	XYLT1	Xylt1	-1.1086	-0.8460	0.4387	0.8744	0.0000	0.0000	0.0856	0.0250	7.0200	22.9208	1.0675	1.6013	DOWN	NO	NO	NO	0	1
ENSG00000197774	EME2	Eme2	-1.0477	-0.1818	0.4363	0.4216	0.0000	0.4667	0.0003	0.0033	7.7670	0.3310	3.5543	2.4850	DOWN	NO	NO	NO	0	1
ENSG00000212916	MAP10	Map10	-1.3450	-0.3059	0.4329	0.5159	0.0000	0.0000	0.0397	0.0166	7.9508	4.5969	1.4018	1.7791	DOWN	NO	NO	NO	0	1
ENSG00000115364	MRPL19	Mrpl19	-1.0171	-0.2324	0.4299	0.0159	0.0000	0.0000	0.0000	0.8740	9.5361	5.2950	5.2161	0.0585	DOWN	NO	NO	NO	0	1
ENSG00000152582	SPEF2	Spef2	-1.5062	-0.8533	0.4262	0.8555	0.0000	0.0000	0.2456	0.3129	12.1284	20.7773	0.6098	0.5046	DOWN	NO	NO	NO	0	1
